Serial number,time,size,direction
1,1540270924.1245346,82,1
2,1540270924.125402,98,-1
3,1540270924.1516948,74,1
4,1540270924.1517766,74,1
5,1540270924.1679733,66,-1
6,1540270924.1679745,66,-1
7,1540270924.1696336,54,1
8,1540270924.1697206,54,1
9,1540270924.1711347,211,1
10,1540270924.1711488,189,1
11,1540270924.1885421,60,-1
12,1540270924.1887891,60,-1
13,1540270924.1892927,425,-1
14,1540270924.1892939,292,-1
15,1540270924.192324,54,1
16,1540270924.1938236,54,1
17,1540270924.2081447,60,-1
18,1540270924.2097287,60,-1
19,1540270924.2267652,77,1
20,1540270924.2440107,77,-1
21,1540270924.245833,66,1
22,1540270929.3618064,54,1
23,1540270937.1128879,60,-1
24,1540270937.1482944,54,1
25,1540270939.1027508,285,1
26,1540270939.1167316,1514,1
27,1540270939.1180248,342,1
28,1540270939.125461,491,1
29,1540270939.1287138,1514,1
30,1540270939.1300812,631,1
31,1540270939.1334338,60,-1
32,1540270939.1348178,491,1
33,1540270939.142261,60,-1
34,1540270939.1423037,491,1
35,1540270939.1453156,491,1
36,1540270939.1471174,60,-1
37,1540270939.1474202,491,1
38,1540270939.1489801,491,1
39,1540270939.1501217,491,1
40,1540270939.1589072,60,-1
41,1540270939.1628566,1514,1
42,1540270939.1639876,60,-1
43,1540270939.1643546,1514,1
44,1540270939.1660054,1514,1
45,1540270939.1666274,60,-1
46,1540270939.1670983,481,1
47,1540270939.181167,60,-1
48,1540270939.1837096,60,-1
49,1540270939.1842763,1365,1
50,1540270939.1973999,491,1
51,1540270939.198061,1514,1
52,1540270939.1980932,1514,1
53,1540270939.1994267,1504,1
54,1540270939.2064457,491,1
55,1540270939.2139425,60,-1
56,1540270939.2148452,99,-1
57,1540270939.2161117,60,-1
58,1540270939.216393,54,1
59,1540270939.2398443,219,-1
60,1540270939.2415504,54,1
61,1540270939.2798486,491,1
62,1540270939.317893,491,1
63,1540270939.3344567,60,-1
64,1540270939.3620303,491,1
65,1540270939.419899,491,1
66,1540270939.4237404,60,-1
67,1540270939.4365737,60,-1
68,1540270939.4841309,491,1
69,1540270939.5007937,60,-1
70,1540270939.5085905,491,1
71,1540270939.5257623,60,-1
72,1540270939.5803015,491,1
73,1540270939.5969899,60,-1
74,1540270939.6042855,491,1
75,1540270939.6211076,60,-1
76,1540270939.6769602,491,1
77,1540270939.6935515,60,-1
78,1540270939.7186704,491,1
79,1540270939.7352538,60,-1
80,1540270939.7661035,491,1
81,1540270939.782943,60,-1
82,1540270939.8181381,491,1
83,1540270939.834839,60,-1
84,1540270939.8846676,491,1
85,1540270939.9017456,60,-1
86,1540270939.9085052,491,1
87,1540270939.9257765,60,-1
88,1540270939.9815087,491,1
89,1540270939.9988043,60,-1
90,1540270940.00556,491,1
91,1540270940.0224211,60,-1
92,1540270940.0709229,491,1
93,1540270940.0876422,60,-1
94,1540270940.120097,491,1
95,1540270940.1367674,60,-1
96,1540270940.1674657,491,1
97,1540270940.184246,60,-1
98,1540270940.2190616,491,1
99,1540270940.2356842,60,-1
100,1540270940.2778602,491,1
101,1540270940.2952418,60,-1
102,1540270940.3220716,491,1
103,1540270940.33902,60,-1
104,1540270940.3831937,491,1
105,1540270940.4002078,60,-1
106,1540270940.4062014,491,1
107,1540270940.4228477,60,-1
108,1540270940.4766319,491,1
109,1540270940.49349,60,-1
110,1540270940.5150747,491,1
111,1540270940.5317116,60,-1
112,1540270940.563391,491,1
113,1540270940.580759,60,-1
114,1540270940.621607,491,1
115,1540270940.6382186,60,-1
116,1540270940.6816108,491,1
117,1540270940.6985147,60,-1
118,1540270940.714268,491,1
119,1540270940.730943,60,-1
120,1540270940.782652,491,1
121,1540270940.799224,60,-1
122,1540270940.8037734,491,1
123,1540270940.8209486,60,-1
124,1540270940.8745039,491,1
125,1540270940.8911784,60,-1
126,1540270940.9181077,491,1
127,1540270940.9346762,60,-1
128,1540270940.9697895,491,1
129,1540270940.986938,60,-1
130,1540270941.0207021,491,1
131,1540270941.0381153,60,-1
132,1540270941.0834165,491,1
133,1540270941.100098,60,-1
134,1540270941.1072679,491,1
135,1540270941.1239848,60,-1
136,1540270941.1820107,491,1
137,1540270941.2003405,60,-1
138,1540270941.2062304,491,1
139,1540270941.2233891,60,-1
140,1540270941.274152,491,1
141,1540270941.291481,60,-1
142,1540270941.3188508,491,1
143,1540270941.3367946,60,-1
144,1540270941.3659322,491,1
145,1540270941.3824995,60,-1
146,1540270941.4192011,491,1
147,1540270941.4363453,60,-1
148,1540270941.4363463,99,-1
149,1540270941.4772966,491,1
150,1540270941.5083187,491,1
151,1540270941.525195,60,-1
152,1540270941.579629,491,1
153,1540270941.6052425,491,1
154,1540270941.6218157,60,-1
155,1540270941.6694393,491,1
156,1540270941.7230358,491,1
157,1540270941.733701,60,-1
158,1540270941.7396445,60,-1
159,1540270941.7683427,491,1
160,1540270941.7848797,60,-1
161,1540270941.8139923,148,-1
162,1540270941.8256967,491,1
163,1540270941.8583066,54,1
164,1540270941.877789,491,1
165,1540270941.883414,60,-1
166,1540270941.9124866,491,1
167,1540270941.9291916,60,-1
168,1540270941.981237,491,1
169,1540270941.9978151,60,-1
170,1540270942.0065722,491,1
171,1540270942.0231092,60,-1
172,1540270942.0702693,491,1
173,1540270942.0870214,60,-1
174,1540270942.1153858,491,1
175,1540270942.1258562,175,-1
176,1540270942.132296,60,-1
177,1540270942.144646,54,1
178,1540270942.162229,491,1
179,1540270942.178874,60,-1
180,1540270942.2217984,491,1
181,1540270942.2383845,60,-1
182,1540270942.2837174,491,1
183,1540270942.3002985,60,-1
184,1540270942.318213,491,1
185,1540270942.3347752,60,-1
186,1540270942.3814704,491,1
187,1540270942.3980045,60,-1
188,1540270942.403916,491,1
189,1540270942.4225225,60,-1
190,1540270942.4742718,491,1
191,1540270942.4907892,60,-1
192,1540270942.5178964,491,1
193,1540270942.5343947,60,-1
194,1540270942.565436,491,1
195,1540270942.5825226,60,-1
196,1540270942.6185544,491,1
197,1540270942.6357636,60,-1
198,1540270942.682912,491,1
199,1540270942.7000089,60,-1
200,1540270942.711002,491,1
201,1540270942.7276182,60,-1
202,1540270942.7816393,213,-1
203,1540270942.7817256,491,1
204,1540270942.7820828,1514,-1
205,1540270942.7821703,1514,-1
206,1540270942.7823648,1083,-1
207,1540270942.7871015,1514,-1
208,1540270942.7872248,1514,-1
209,1540270942.7873576,1267,-1
210,1540270942.7873588,115,-1
211,1540270942.7889173,54,1
212,1540270942.7915204,54,1
213,1540270942.7947333,54,1
214,1540270942.7974794,99,1
215,1540270942.798248,60,-1
216,1540270942.8055449,1514,-1
217,1540270942.8056746,1514,-1
218,1540270942.8058658,1514,-1
219,1540270942.8070397,54,1
220,1540270942.8077557,491,1
221,1540270942.80812,54,1
222,1540270942.8082116,1514,-1
223,1540270942.8084195,1514,-1
224,1540270942.810923,54,1
225,1540270942.8112519,1514,-1
226,1540270942.811435,591,-1
227,1540270942.8167934,54,1
228,1540270942.824256,60,-1
229,1540270942.859063,54,1
230,1540270942.9607646,91,1
231,1540270942.9610372,91,1
232,1540270942.9611974,431,1
233,1540270942.9774709,60,-1
234,1540270942.978505,431,1
235,1540270942.9949775,66,-1
236,1540270943.3280714,156,-1
237,1540270943.3814418,156,-1
238,1540270943.396952,54,1
239,1540270943.3971348,54,1
240,1540270944.7617276,54,1
241,1540270945.752627,175,1
