Serial number,time,size,direction
1,1540199730.6834502,95,1
2,1540199730.7003982,95,-1
3,1540199730.7245026,54,1
4,1540199732.5619495,288,1
5,1540199732.6202183,936,1
6,1540199732.6279495,60,-1
7,1540199732.637126,60,-1
8,1540199732.6425178,1291,1
9,1540199732.644253,491,1
10,1540199732.6442838,491,1
11,1540199732.6443517,491,1
12,1540199732.6490958,491,1
13,1540199732.6504288,491,1
14,1540199732.6594498,60,-1
15,1540199732.6597943,491,1
16,1540199732.6603792,1514,1
17,1540199732.6609876,60,-1
18,1540199732.6609905,60,-1
19,1540199732.6609921,60,-1
20,1540199732.6621861,1031,1
21,1540199732.6659143,60,-1
22,1540199732.6672218,60,-1
23,1540199732.6757343,491,1
24,1540199732.676412,1514,1
25,1540199732.676446,1431,1
26,1540199732.6765952,60,-1
27,1540199732.6773021,60,-1
28,1540199732.6779373,491,1
29,1540199732.6789844,60,-1
30,1540199732.6813426,491,1
31,1540199732.6817217,891,1
32,1540199732.687767,491,1
33,1540199732.691374,491,1
34,1540199732.6925712,60,-1
35,1540199732.6926289,491,1
36,1540199732.6932993,60,-1
37,1540199732.6933548,491,1
38,1540199732.6934505,60,-1
39,1540199732.6946785,60,-1
40,1540199732.6958067,491,1
41,1540199732.6965463,491,1
42,1540199732.697219,491,1
43,1540199732.6977167,491,1
44,1540199732.698244,60,-1
45,1540199732.6986098,60,-1
46,1540199732.7045143,60,-1
47,1540199732.708165,60,-1
48,1540199732.7094193,60,-1
49,1540199732.710422,60,-1
50,1540199732.712701,60,-1
51,1540199732.7133436,60,-1
52,1540199732.713994,60,-1
53,1540199732.71467,60,-1
54,1540199732.7266388,491,1
55,1540199732.7417145,491,1
56,1540199732.7435417,60,-1
57,1540199732.7585034,60,-1
58,1540199732.8042958,219,-1
59,1540199732.8061204,491,1
60,1540199732.8074327,54,1
61,1540199732.8229594,60,-1
62,1540199732.8517194,491,1
63,1540199732.8684883,60,-1
64,1540199732.9039242,491,1
65,1540199732.9208117,60,-1
66,1540199732.957227,491,1
67,1540199732.9740942,60,-1
68,1540199733.0158017,491,1
69,1540199733.0326183,60,-1
70,1540199733.0464647,491,1
71,1540199733.0633535,60,-1
72,1540199733.1126761,491,1
73,1540199733.1297107,60,-1
74,1540199733.148836,491,1
75,1540199733.1657617,60,-1
76,1540199733.209702,491,1
77,1540199733.2265065,60,-1
78,1540199733.2556543,491,1
79,1540199733.2724724,60,-1
80,1540199733.3081827,491,1
81,1540199733.3250782,60,-1
82,1540199733.347178,491,1
83,1540199733.3639994,60,-1
84,1540199733.4179492,491,1
85,1540199733.4348063,60,-1
86,1540199733.444147,491,1
87,1540199733.4610393,60,-1
88,1540199733.4610443,99,-1
89,1540199733.462551,54,1
90,1540199733.509825,491,1
91,1540199733.5390434,491,1
92,1540199733.5558636,60,-1
93,1540199733.6098278,491,1
94,1540199733.6587029,491,1
95,1540199733.6680079,60,-1
96,1540199733.6755989,60,-1
97,1540199733.6974134,491,1
98,1540199733.7143662,60,-1
99,1540199733.769911,491,1
100,1540199733.7868512,60,-1
101,1540199733.8461084,491,1
102,1540199733.8463366,491,1
103,1540199733.8630393,60,-1
104,1540199733.8630455,60,-1
105,1540199733.9460378,491,1
106,1540199733.9629877,60,-1
107,1540199734.0136094,491,1
108,1540199734.0147643,491,1
109,1540199734.0305035,60,-1
110,1540199734.0316153,60,-1
111,1540199734.0983331,491,1
112,1540199734.1105273,491,1
113,1540199734.1151495,60,-1
114,1540199734.1274164,60,-1
115,1540199734.1574945,491,1
116,1540199734.1743941,60,-1
117,1540199734.2451837,491,1
118,1540199734.2581,491,1
119,1540199734.262095,60,-1
120,1540199734.2751372,60,-1
121,1540199734.305657,491,1
122,1540199734.3225994,60,-1
123,1540199734.352628,491,1
124,1540199734.3696527,60,-1
125,1540199734.4366672,491,1
126,1540199734.4535933,60,-1
127,1540199734.4573896,491,1
128,1540199734.4742675,60,-1
129,1540199734.5018144,491,1
130,1540199734.5186806,60,-1
131,1540199734.5485284,178,-1
132,1540199734.5638304,491,1
133,1540199734.5641544,54,1
134,1540199734.6224723,491,1
135,1540199734.6380424,60,-1
136,1540199734.6394055,60,-1
137,1540199734.6430042,491,1
138,1540199734.6599433,60,-1
139,1540199734.7129416,491,1
140,1540199734.7299027,60,-1
141,1540199734.740151,491,1
142,1540199734.7570424,60,-1
143,1540199734.8052263,491,1
144,1540199734.8220763,60,-1
145,1540199734.8231497,171,-1
146,1540199734.8261547,54,1
147,1540199734.8515668,491,1
148,1540199734.906493,491,1
149,1540199734.9104712,204,1
150,1540199734.918,60,-1
151,1540199734.9233162,60,-1
152,1540199734.9273694,60,-1
153,1540199734.9582903,491,1
154,1540199734.9752557,60,-1
155,1540199735.014348,491,1
156,1540199735.0313141,60,-1
157,1540199735.0313196,99,-1
158,1540199735.0537453,491,1
159,1540199735.1209238,491,1
160,1540199735.1280816,60,-1
161,1540199735.137804,60,-1
162,1540199735.1425402,491,1
163,1540199735.1595173,60,-1
164,1540199735.2087805,491,1
165,1540199735.225627,60,-1
166,1540199735.2543368,491,1
167,1540199735.2713017,60,-1
168,1540199735.3041017,491,1
169,1540199735.320934,60,-1
170,1540199735.3516574,285,-1
171,1540199735.3521166,1514,-1
172,1540199735.3522081,1514,-1
173,1540199735.3524058,1236,-1
174,1540199735.35709,491,1
175,1540199735.3581045,54,1
176,1540199735.3589764,54,1
177,1540199735.3830268,1514,-1
178,1540199735.38315,1514,-1
179,1540199735.3832378,1267,-1
180,1540199735.3833609,1514,-1
181,1540199735.3834448,1514,-1
182,1540199735.383446,328,-1
183,1540199735.383557,1030,-1
184,1540199735.3837652,1514,-1
185,1540199735.4141655,54,1
186,1540199735.4229767,54,1
187,1540199735.42313,54,1
188,1540199735.4232206,54,1
189,1540199735.4233382,491,1
190,1540199735.4312816,1514,-1
191,1540199735.4316115,1514,-1
192,1540199735.4399812,1514,-1
193,1540199735.4402583,841,-1
194,1540199735.4435768,91,1
195,1540199735.4535522,91,1
196,1540199735.4537125,54,1
197,1540199735.4571497,335,1
198,1540199735.4605043,60,-1
199,1540199735.4739528,60,-1
200,1540199735.9314802,159,-1
201,1540199735.9692533,54,1
202,1540199735.9755754,154,-1
203,1540199735.9769216,54,1
204,1540199738.6855223,175,1
205,1540199738.7580278,60,-1
206,1540199754.733132,77,1
207,1540199754.7503216,77,-1
208,1540199754.7516432,66,1
209,1540199758.090029,283,1
210,1540199758.1067586,60,-1
