Serial number,time,size,direction
1,1540183050.7035336,77,1
2,1540183050.7215474,77,-1
3,1540183050.801224,66,1
4,1540183051.6280727,95,1
5,1540183051.6447244,95,-1
6,1540183051.6473691,54,1
7,1540183060.184574,277,1
8,1540183060.2021127,966,1
9,1540183060.212052,1514,1
10,1540183060.2135522,231,1
11,1540183060.2135818,891,1
12,1540183060.2156808,491,1
13,1540183060.2192037,60,-1
14,1540183060.2300534,60,-1
15,1540183060.232235,60,-1
16,1540183060.2484627,1514,1
17,1540183060.2497964,231,1
18,1540183060.2605455,491,1
19,1540183060.2650735,491,1
20,1540183060.265817,491,1
21,1540183060.2663798,491,1
22,1540183060.2672584,491,1
23,1540183060.267384,60,-1
24,1540183060.2679267,491,1
25,1540183060.268711,491,1
26,1540183060.2693036,491,1
27,1540183060.2819474,60,-1
28,1540183060.2832706,60,-1
29,1540183060.284741,60,-1
30,1540183060.2849371,928,1
31,1540183060.2862854,60,-1
32,1540183060.2950199,491,1
33,1540183060.3070939,491,1
34,1540183060.3087726,1514,1
35,1540183060.308803,1031,1
36,1540183060.3118966,491,1
37,1540183060.3124442,60,-1
38,1540183060.319879,491,1
39,1540183060.3207798,491,1
40,1540183060.3254063,60,-1
41,1540183060.3258135,218,-1
42,1540183060.3366296,60,-1
43,1540183060.3394878,54,1
44,1540183060.3555212,1291,1
45,1540183060.3722882,60,-1
46,1540183060.3763614,491,1
47,1540183060.4035819,491,1
48,1540183060.474649,491,1
49,1540183060.4994802,491,1
50,1540183060.5162365,60,-1
51,1540183060.5777175,491,1
52,1540183060.6133702,491,1
53,1540183060.6306608,60,-1
54,1540183060.6600504,491,1
55,1540183060.7137291,491,1
56,1540183060.7264824,60,-1
57,1540183060.7304819,60,-1
58,1540183060.7402632,150,-1
59,1540183060.7722585,54,1
60,1540183060.7753265,491,1
61,1540183060.8024046,491,1
62,1540183060.819341,60,-1
63,1540183060.8744576,491,1
64,1540183060.9060233,491,1
65,1540183060.9225802,60,-1
66,1540183060.9701672,491,1
67,1540183061.0229323,491,1
68,1540183061.0395494,60,-1
69,1540183061.0632868,491,1
70,1540183061.1142073,491,1
71,1540183061.1263797,60,-1
72,1540183061.1308854,60,-1
73,1540183061.1757443,491,1
74,1540183061.1924782,60,-1
75,1540183061.1925814,99,-1
76,1540183061.193956,54,1
77,1540183061.2060852,491,1
78,1540183061.2666574,60,-1
79,1540183061.2749836,491,1
80,1540183061.2927551,60,-1
81,1540183061.3010304,491,1
82,1540183061.3176188,60,-1
83,1540183061.3680263,491,1
84,1540183061.384566,60,-1
85,1540183061.412423,491,1
86,1540183061.4292986,60,-1
87,1540183061.4616785,491,1
88,1540183061.4782197,60,-1
89,1540183061.510962,491,1
90,1540183061.5274823,60,-1
91,1540183061.5761418,491,1
92,1540183061.592837,60,-1
93,1540183061.6143737,491,1
94,1540183061.6309078,60,-1
95,1540183061.675396,491,1
96,1540183061.6923237,60,-1
97,1540183061.6994174,491,1
98,1540183061.7161858,60,-1
99,1540183061.7625184,491,1
100,1540183061.779288,60,-1
101,1540183061.8113954,491,1
102,1540183061.8283303,60,-1
103,1540183061.8612688,491,1
104,1540183061.8782961,60,-1
105,1540183061.9098015,491,1
106,1540183061.9262927,60,-1
107,1540183061.9995286,491,1
108,1540183062.0163069,60,-1
109,1540183062.0717676,491,1
110,1540183062.0719326,491,1
111,1540183062.0720336,491,1
112,1540183062.088472,60,-1
113,1540183062.0886343,66,-1
114,1540183062.0886352,60,-1
115,1540183062.0983357,491,1
116,1540183062.1148071,60,-1
117,1540183062.177308,491,1
118,1540183062.1941476,60,-1
119,1540183062.2105863,491,1
120,1540183062.2272258,60,-1
121,1540183062.2717817,491,1
122,1540183062.2884722,60,-1
123,1540183062.3192434,491,1
124,1540183062.335815,60,-1
125,1540183062.370305,491,1
126,1540183062.3882372,60,-1
127,1540183062.406285,491,1
128,1540183062.423538,60,-1
129,1540183062.4786198,491,1
130,1540183062.4955058,60,-1
131,1540183062.5238807,491,1
132,1540183062.5404286,60,-1
133,1540183062.6797311,491,1
134,1540183062.6801598,491,1
135,1540183062.6815233,491,1
136,1540183062.6966805,60,-1
137,1540183062.6971042,60,-1
