Serial number,time,size,direction
1,1540291994.546321,77,1
2,1540291994.563695,77,-1
3,1540291994.5837688,66,1
4,1540291997.515628,289,1
5,1540291997.532108,60,-1
6,1540291997.5438375,1078,1
7,1540291997.5451217,816,1
8,1540291997.560504,60,-1
9,1540291997.561671,60,-1
10,1540291997.5926855,1078,1
11,1540291997.5940595,667,1
12,1540291997.5953414,891,1
13,1540291997.6048167,491,1
14,1540291997.6092298,60,-1
15,1540291997.6105633,60,-1
16,1540291997.611935,60,-1
17,1540291997.6214113,60,-1
18,1540291997.6238234,1078,1
19,1540291997.624135,267,1
20,1540291997.6404684,60,-1
21,1540291997.6406856,60,-1
22,1540291997.6463144,1078,1
23,1540291997.6474402,1078,1
24,1540291997.6474698,1078,1
25,1540291997.647492,1078,1
26,1540291997.6475167,1078,1
27,1540291997.6475391,1078,1
28,1540291997.6488245,1078,1
29,1540291997.6628642,60,-1
30,1540291997.6640484,60,-1
31,1540291997.6640503,60,-1
32,1540291997.6642072,60,-1
33,1540291997.66421,60,-1
34,1540291997.6643896,60,-1
35,1540291997.6649663,1078,1
36,1540291997.665507,60,-1
37,1540291997.6657846,1078,1
38,1540291997.666126,1078,1
39,1540291997.6668775,1078,1
40,1540291997.6683738,538,1
41,1540291997.6790152,216,-1
42,1540291997.6804261,54,1
43,1540291997.6825376,60,-1
44,1540291997.6838014,60,-1
45,1540291997.6987445,491,1
46,1540291997.7152588,60,-1
47,1540291997.745021,491,1
48,1540291997.8055933,60,-1
49,1540291997.8091094,491,1
50,1540291997.8271704,60,-1
51,1540291997.8688338,491,1
52,1540291997.88542,60,-1
53,1540291997.889783,491,1
54,1540291997.9063213,60,-1
55,1540291997.9528918,491,1
56,1540291997.9694302,60,-1
57,1540291997.9835494,491,1
58,1540291998.0001109,60,-1
59,1540291998.056853,491,1
60,1540291998.0734284,60,-1
61,1540291998.1033778,491,1
62,1540291998.1198835,60,-1
63,1540291998.1460035,491,1
64,1540291998.1626446,60,-1
65,1540291998.1942766,491,1
66,1540291998.2108784,60,-1
67,1540291998.2746565,491,1
68,1540291998.291287,60,-1
69,1540291998.344721,491,1
70,1540291998.3613272,60,-1
71,1540291998.383595,491,1
72,1540291998.3850484,491,1
73,1540291998.3850787,491,1
74,1540291998.3996115,60,-1
75,1540291998.4015899,60,-1
76,1540291998.4015932,60,-1
77,1540291998.4017887,99,-1
78,1540291998.5188222,491,1
79,1540291998.527634,491,1
80,1540291998.5416648,491,1
81,1540291998.5442138,60,-1
