Serial number,time,size,direction
1,1540189762.9605706,60,1
2,1540189763.012304,54,-1
3,1540189766.6933303,286,-1
4,1540189766.7101438,60,-1
5,1540189766.7530167,1514,-1
6,1540189766.764546,358,-1
7,1540189766.7700415,60,-1
8,1540189766.7721887,1514,-1
9,1540189766.7727563,231,-1
10,1540189766.772804,491,-1
11,1540189766.7813768,60,-1
12,1540189766.7816873,1291,-1
13,1540189766.7880986,891,-1
14,1540189766.789207,60,-1
15,1540189766.7895854,60,-1
16,1540189766.7895875,60,-1
17,1540189766.7986534,60,-1
18,1540189766.8049836,60,-1
19,1540189766.8107867,1514,-1
20,1540189766.8119938,1514,-1
21,1540189766.8120258,1267,-1
22,1540189766.812049,1514,-1
23,1540189766.8120713,935,-1
24,1540189766.8120928,1514,-1
25,1540189766.8277352,60,-1
26,1540189766.829,60,-1
27,1540189766.829002,60,-1
28,1540189766.8291998,60,-1
29,1540189766.8292017,60,-1
30,1540189766.829368,60,-1
31,1540189766.8361099,1514,-1
32,1540189766.8365262,1514,-1
33,1540189766.8385599,1514,-1
34,1540189766.8385904,1125,-1
35,1540189766.8530688,60,-1
36,1540189766.8535352,60,-1
37,1540189766.855635,60,-1
38,1540189766.8754058,491,-1
39,1540189766.8895638,210,-1
40,1540189766.8922567,60,-1
41,1540189766.9379702,491,-1
42,1540189766.9504786,54,-1
43,1540189766.9548745,60,-1
44,1540189766.9557092,491,-1
45,1540189766.9725947,60,-1
46,1540189767.0869896,491,-1
47,1540189767.0907822,491,-1
48,1540189767.1075547,60,-1
49,1540189767.1075578,60,-1
50,1540189767.1182134,491,-1
51,1540189767.1351333,60,-1
52,1540189767.1655476,491,-1
53,1540189767.1842818,60,-1
54,1540189767.1844392,99,-1
55,1540189767.2140374,491,-1
56,1540189767.2619865,491,-1
57,1540189767.2763631,60,-1
58,1540189767.2788355,60,-1
59,1540189767.331507,491,-1
60,1540189767.3483822,60,-1
61,1540189767.356164,491,-1
62,1540189767.3729913,60,-1
63,1540189767.4291153,491,-1
64,1540189767.4459465,60,-1
65,1540189767.4653494,491,-1
66,1540189767.4821587,60,-1
67,1540189767.5345495,491,-1
68,1540189767.5514693,60,-1
69,1540189767.570324,491,-1
70,1540189767.5872595,60,-1
71,1540189767.6165738,491,-1
72,1540189767.6335552,60,-1
73,1540189767.6635513,491,-1
74,1540189767.6804962,60,-1
75,1540189767.741069,491,-1
76,1540189767.7579722,60,-1
77,1540189767.7704952,491,-1
78,1540189767.7873673,60,-1
79,1540189767.8249965,491,-1
80,1540189767.8418548,60,-1
81,1540189767.861875,491,-1
82,1540189767.8787792,60,-1
83,1540189767.9336636,491,-1
84,1540189767.950542,60,-1
85,1540189767.968533,491,-1
86,1540189767.9853709,60,-1
87,1540189768.016947,491,-1
88,1540189768.0338423,60,-1
89,1540189768.0654495,491,-1
90,1540189768.0824215,60,-1
91,1540189768.0994039,54,-1
92,1540189768.1284564,491,-1
93,1540189768.1453931,60,-1
94,1540189768.1706223,491,-1
95,1540189768.187539,60,-1
96,1540189768.2229285,491,-1
97,1540189768.239901,60,-1
98,1540189768.255861,491,-1
99,1540189768.2729006,60,-1
100,1540189768.3204932,491,-1
101,1540189768.337389,60,-1
102,1540189768.3660052,491,-1
103,1540189768.3828795,60,-1
104,1540189768.4410658,491,-1
105,1540189768.4579177,60,-1
106,1540189768.4655266,491,-1
107,1540189768.4823709,60,-1
108,1540189768.5326378,491,-1
109,1540189768.5494654,60,-1
110,1540189768.5718727,491,-1
111,1540189768.5888886,60,-1
112,1540189768.625365,491,-1
113,1540189768.6422782,60,-1
114,1540189768.655947,491,-1
115,1540189768.6729715,60,-1
116,1540189768.7163641,491,-1
117,1540189768.733337,60,-1
118,1540189768.7758262,491,-1
119,1540189768.7934642,60,-1
120,1540189768.7936316,99,-1
121,1540189768.8145926,491,-1
122,1540189768.8675733,491,-1
123,1540189768.8843849,60,-1
124,1540189768.929964,491,-1
125,1540189768.973685,491,-1
126,1540189768.9905047,60,-1
127,1540189769.0230649,491,-1
128,1540189769.0563395,491,-1
129,1540189769.0732205,60,-1
130,1540189769.141409,491,-1
131,1540189769.168895,491,-1
132,1540189769.1858304,60,-1
133,1540189769.2175229,491,-1
134,1540189769.2703326,491,-1
135,1540189769.2864218,60,-1
136,1540189769.287211,60,-1
137,1540189769.328503,491,-1
138,1540189769.3453624,60,-1
139,1540189769.3564425,491,-1
140,1540189769.373309,60,-1
141,1540189769.4278738,491,-1
142,1540189769.4447234,60,-1
143,1540189769.4561906,491,-1
144,1540189769.4730349,60,-1
145,1540189769.5335665,491,-1
146,1540189769.5504344,60,-1
147,1540189769.5682266,491,-1
148,1540189769.585086,60,-1
149,1540189769.615359,491,-1
150,1540189769.632298,60,-1
151,1540189769.6638322,491,-1
152,1540189769.6808133,60,-1
153,1540189769.7336757,491,-1
154,1540189769.7505863,60,-1
155,1540189769.7568846,491,-1
156,1540189769.773757,60,-1
157,1540189769.841529,491,-1
158,1540189769.8517659,491,-1
159,1540189769.8583813,60,-1
160,1540189769.8686235,60,-1
161,1540189769.9339464,491,-1
162,1540189769.950805,60,-1
163,1540189769.9661493,491,-1
164,1540189769.9830527,60,-1
165,1540189770.0136483,491,-1
166,1540189770.030491,60,-1
167,1540189770.0610082,491,-1
168,1540189770.0778952,60,-1
169,1540189770.1311717,491,-1
170,1540189770.1482432,60,-1
171,1540189770.1717122,491,-1
172,1540189770.1888697,60,-1
173,1540189770.2238975,491,-1
174,1540189770.240846,60,-1
